Complete Class Schedule with Students:
Time Slot	Room	Course	Teacher	Students
TH 9:55 AM-12:45 PM	TH129	013213	3996564	3821958, 4277924, 4161057, 4094498, 4094175, 4175407, 4050929, 4096914, 4093066, 4175349, 3817001
T 9:10 AM-12:30 PM	TAYG	005161	0031582	3893220, 4094815, 3903520
T 9:10 AM-12:30 PM	DAL2	010860	3461209	3846920, 4000476, 3910701, 4086404, 3790857, 4086325, 3910659, 3910653
MWF 9:10 AM-10:00 AM	PK247	016843	4354084	3823092, 4070957, 4280138, 3969108, 3797206, 3815949, 4090714, 3610671, 3910471, 3816466
T 9:10 AM-12:30 PM	PK349	011037	3083296	3816963, 3816708, 3912597
TH 9:55 AM-12:45 PM	PK126	016844	0031572	3839352, 4023438, 4278366, 3788990, 3930070, 4095930, 4175470, 4093324, 4086083, 4175405, 4175331, 3913815, 4086445
TH 9:55 AM-12:45 PM	BYC127	002571	0564741	3710476, 3792350, 3881597, 3904645, 3797331, 3820038, 3820729, 3973885, 3848415, 3820378, 3929468, 4091996, 4093611, 3847728, 4002113, 4086430, 3910514, 3994843, 4086378, 3678357, 3790857, 3819143, 3821554, 3848104, 3910715, 4086345, 4095234, 3708638, 4086322, 4086346
MWF 11:10 AM-12:00 PM	TH110	003541	0599596	3762625, 3930721, 3797192, 3915038, 3930220
T 9:10 AM-12:30 PM	GOB	001242	4354604	3903909, 3813457, 3576990
MWF 9:10 AM-10:00 AM	RCSEM	016609	4273392	3677885, 3705083, 3717137, 3852791, 3930831, 3797168, 3910570, 4095224, 3910594, 3910555, 3910592, 3910642, 3910672, 3651348, 3910492, 3910507, 3910576, 3816336, 3910470, 3910674, 3910722, 4086398, 4086496, 3923473, 4175465, 3910506
